candle_tract
221.3
223.21
220.24
217.46
217.47
220.23
221.21
221.22
99.01
99.02
113
111
112
117
114
115
116
118
201.01
201.02
225
226
102.1
110.2
205.11
207
212
208.2
211.35
214.1
217.53
223.1
223.22
224.1
7
11
19
32
203
210.1
206.21
214.2
221.12
4
26
213.53
211.37
55
75
106.2
205.31
205.32
205.23
205.24
206.33
206.35
206.43
206.44
206.34
208.31
208.32
211.24
211.25
211.26
211.39
24
25
30
33
59
62
78.21
86
87
206.52
107.2
206.1
206.42
208.1
210.2
211.11
211.22
217.44
213.2
215.1
12
20
27
34
35
36
107.1
110.1
202.21
206.51
211.21
211.36
222.1
215.4
216.2
217.54
223.3
56
57
78.1
6
60
64
66
67
72
91
89
103
105
108.1
70
73
101.2
102.2
211.12
205.21
206.32
213.31
214.3
216.12
216.13
217.41
219
221.11
28
43
58
68
74
79
92
95
205.12
96
217.45
2
3
37
9
16
29
38
45
50
69
82
85
88
94
211.4
211.41
211.42
108.2
209
217.1
217.24
93
106.1
202.22
211.38
213.41
213.51
213.52
227
9801
9802
9804
9803
98
220.22
8
13
14
15
17
21
31
39
42
46
53
63
65
71
1
97
78.22
80
215.2
217.21
217.32
217.51
222.2
100
81.1
213.11
213.12
213.33
213.34
217.25
217.26
106.3
81.2
202.1
101.1
204
205.41
205.42
206.22
211.13
213.42
215.3
216.11
217.31
217.52
